question_id,condition,answer_id,normalized_absolute_diff,normalized_signed_diff,total_tokens
4.13,no_memory,4.13.128,0.0,0.0,278.0
4.13,no_memory,4.13.140,0.21666666666666667,-0.21666666666666667,309.6666666666667
4.13,no_memory,4.13.160,0.7166666666666667,-0.7166666666666667,263.3333333333333
4.13,no_memory,4.13.186,0.7666666666666666,-0.7666666666666666,307.0
4.13,no_memory,4.13.192,0.5,-0.5,280.6666666666667
4.13,no_memory,4.13.202,0.06666666666666667,0.06666666666666667,321.0
4.13,no_memory,4.13.210,0.1166666666666667,-0.1166666666666667,300.3333333333333
4.13,no_memory,4.13.233,0.3,-0.3,266.6666666666667
4.13,no_memory,4.13.361,0.050000000000000044,0.01666666666666668,303.6666666666667
4.13,no_memory,4.13.82,0.5,-0.5,275.3333333333333
4.13,retrieval_full,4.13.128,0.0,0.0,4876.666666666667
4.13,retrieval_full,4.13.140,0.0,0.0,4914.666666666667
4.13,retrieval_full,4.13.160,0.4166666666666667,-0.4166666666666667,4841.0
4.13,retrieval_full,4.13.186,0.5,-0.5,5110.0
4.13,retrieval_full,4.13.192,0.25,-0.25,4827.0
4.13,retrieval_full,4.13.202,0.16666666666666666,0.16666666666666666,4987.333333333333
4.13,retrieval_full,4.13.210,0.0,0.0,4890.0
4.13,retrieval_full,4.13.233,0.16666666666666666,-0.16666666666666666,4841.333333333333
4.13,retrieval_full,4.13.361,0.0,0.0,4952.0
4.13,retrieval_full,4.13.82,0.25,-0.25,4893.666666666667
4.13,retrieval_no_feedback,4.13.128,0.0,0.0,4458.0
4.13,retrieval_no_feedback,4.13.140,0.0,0.0,4571.0
4.13,retrieval_no_feedback,4.13.160,0.4166666666666667,-0.4166666666666667,4445.333333333333
4.13,retrieval_no_feedback,4.13.186,0.5,-0.5,4592.333333333333
4.13,retrieval_no_feedback,4.13.192,0.25,-0.25,4516.666666666667
4.13,retrieval_no_feedback,4.13.202,0.16666666666666666,0.16666666666666666,4510.333333333333
4.13,retrieval_no_feedback,4.13.210,0.0,0.0,4594.666666666667
4.13,retrieval_no_feedback,4.13.233,0.0,0.0,4412.0
4.13,retrieval_no_feedback,4.13.361,0.0,0.0,4501.666666666667
4.13,retrieval_no_feedback,4.13.82,0.25,-0.25,4574.0
4.13,mem0_full,4.13.128,0.19999999999999998,-0.19999999999999998,638.3333333333334
4.13,mem0_full,4.13.140,0.10000000000000002,-0.10000000000000002,646.6666666666666
4.13,mem0_full,4.13.160,0.65,-0.65,608.0
4.13,mem0_full,4.13.186,0.7166666666666667,-0.7166666666666667,652.6666666666666
